,pk,track,artists,time_taken,remarks,CFP,CFD,UC,RHC,CPT,BD,R,weighted_total,chord_locations
85,172,If You Need Me (1963),Solomon Burke,136,,0,2,0,1,0,0,0,6,./data/chords/172_salami_chords.txt
86,43,Two Hearts (1988),Phil Collins,231,,0,2,1,1,1,3,1,12,./data/chords/43_salami_chords.txt
87,941,Like A Rock (1986),Bob Seger,988,,0,1,1,1,1,1,1,10,./data/chords/941_salami_chords.txt
88,683,That Girl (1982),Stevie Wonder,291,,3,3,3,2,1,1,1,31,./data/chords/683_salami_chords.txt
89,643,The People In Me (1967),The Music Machine,137,,0,1,0,1,1,1,0,5,./data/chords/643_salami_chords.txt
90,74,Nowhere To Run (1965),Martha & The Vandellas,376,,0,1,1,1,2,2,0,9,./data/chords/74_salami_chords.txt
91,958,Miss You (1978),The Rolling Stones,111,,0,0,0,1,0,0,0,2,./data/chords/958_salami_chords.txt
92,269,Money (1973),Pink Floyd,259,,0,2,0,1,0,0,0,6,./data/chords/269_salami_chords.txt
93,89,Fire And Ice (1981),Pat Benatar,322,,2,2,2,2,2,2,1,24,./data/chords/89_salami_chords.txt
94,354,Philadelphia Freedom (1975),Elton John,576,,2,2,2,2,2,3,1,24,./data/chords/354_salami_chords.txt
95,396,Fever (1958),Peggy Lee,33,,0,2,0,1,0,1,0,6,./data/chords/396_salami_chords.txt
96,49,People (1964),Barbra Streisand,279,,1,2,3,1,1,3,2,23,./data/chords/49_salami_chords.txt
97,675,With A Little Help From My Friends (1968),Joe Cocker,198,,0,2,1,1,1,0,1,12,./data/chords/675_salami_chords.txt
98,633,Maneater (1982),Daryl Hall & John Oates,1032,,0,2,1,2,1,0,1,14,./data/chords/633_salami_chords.txt
99,1150,Rock This Town (1982),Stray Cats,315,,0,0,1,1,1,0,0,6,./data/chords/1150_salami_chords.txt
100,170,Twilight Zone (1982),Golden Earring,231,,0,2,1,1,1,1,1,12,./data/chords/170_salami_chords.txt
101,970,Modern Love (1983),David Bowie,799,,0,2,1,1,2,2,1,13,./data/chords/970_salami_chords.txt
102,467,Little Bit O' Soul (1967),The Music Explosion,224,,0,1,0,1,2,3,0,6,./data/chords/467_salami_chords.txt
103,843,If I Could Turn Back Time (1989),Cher,416,,1,2,1,2,2,2,1,18,./data/chords/843_salami_chords.txt
104,722,Where Are You (1962),Dinah Washington,312,,2,2,2,3,1,0,2,27,./data/chords/722_salami_chords.txt
105,925,The Best Disco In Town (1976),The Ritchie Family,276,,2,2,2,2,2,3,1,24,./data/chords/925_salami_chords.txt
106,978,The Look Of Love (1971),Isaac Hayes,784,,2,2,2,2,1,2,1,23,./data/chords/978_salami_chords.txt
107,904,Till The End Of The Day (1966),The Kinks,323,,0,0,0,3,3,0,1,11,./data/chords/904_salami_chords.txt
108,244,"Have You Seen Your Mother, Baby, Standing In The Shadow? (1966)",The Rolling Stones,225,,0,2,1,1,2,0,1,13,./data/chords/244_salami_chords.txt
109,356,Dum Dum (1961),Brenda Lee,183,,0,1,0,1,1,0,0,5,./data/chords/356_salami_chords.txt
110,1218,Behind Closed Doors (1973),Charlie Rich,231,,1,2,1,1,1,0,1,15,./data/chords/1218_salami_chords.txt
111,12,Lookin' For Love (1980),Johnny Lee,343,,0,2,1,1,1,1,1,12,./data/chords/12_salami_chords.txt
112,1163,My Love (1973),Paul McCartney,296,,1,2,2,1,1,0,1,18,./data/chords/1163_salami_chords.txt
113,180,Beautiful (1972),Gordon Lightfoot,307,,2,2,2,1,1,0,0,19,./data/chords/180_salami_chords.txt
114,885,The Way You Do The Things You Do (1990),UB40,204,,0,1,0,1,1,3,0,5,./data/chords/885_salami_chords.txt
115,591,The Long Run (1979),Eagles,185,,0,2,0,1,1,1,0,7,./data/chords/591_salami_chords.txt
116,812,Super Freak (Part I) (1981),Rick James,587,,0,2,1,1,2,1,0,11,./data/chords/812_salami_chords.txt
117,377,I Can't Stand The Rain (1973),Ann Peebles,122,,0,1,0,1,0,0,0,4,./data/chords/377_salami_chords.txt
118,293,Every Little Thing She Does Is Magic (1981),The Police,429,,2,2,2,2,2,2,1,24,./data/chords/293_salami_chords.txt
119,1066,My Hometown (1985),Bruce Springsteen,294,,0,2,1,1,1,0,0,10,./data/chords/1066_salami_chords.txt
120,1104,What You Get Is What You See (1987),Tina Turner,587,,0,2,1,1,2,1,1,13,./data/chords/1104_salami_chords.txt
121,395,Here Come Those Tears Again (1977),Jackson Browne,231,,1,2,2,2,2,0,1,21,./data/chords/395_salami_chords.txt
122,635,The Little Old Lady (From Pasadena) (1964),Jan & Dean,251,,0,1,0,1,2,1,1,8,./data/chords/635_salami_chords.txt
123,917,Love Song (1973),Anne Murray,204,,0,1,0,1,1,0,0,5,./data/chords/917_salami_chords.txt
124,1136,Get Together (1967),The Youngbloods,406,,0,1,1,1,1,0,0,8,./data/chords/1136_salami_chords.txt
125,969,Don't Ask Me Why (1980),Billy Joel,271,,1,2,2,1,2,2,1,19,./data/chords/969_salami_chords.txt
126,112,Letter Full Of Tears (1961),Gladys Knight & The Pips,234,,0,2,1,1,1,0,1,12,./data/chords/112_salami_chords.txt
127,765,Too Weak To Fight (1968),Clarence Carter,221,,1,3,2,2,1,0,0,20,./data/chords/765_salami_chords.txt
128,986,You Make Me Feel Like Dancing (1976),Leo Sayer,300,,1,2,2,1,1,0,1,18,./data/chords/986_salami_chords.txt
129,911,Hold On (1990),Wilson Phillips,705,,1,2,2,1,2,3,1,19,./data/chords/911_salami_chords.txt
130,304,The Humpty Dance (1990),Digital Underground,151,,1,1,0,1,0,0,0,7,./data/chords/304_salami_chords.txt
131,1114,Wichita Lineman (1968),Glen Campbell,228,,1,2,2,1,1,0,1,18,./data/chords/1114_salami_chords.txt
132,221,Feel Like Makin' Love (1974),Roberta Flack,336,,2,2,2,2,1,2,0,21,./data/chords/221_salami_chords.txt
133,849,Do You Love Me (1962),The Contours,186,,0,2,1,1,2,1,0,11,./data/chords/849_salami_chords.txt
134,107,Sweet Home Alabama (1974),Lynyrd Skynyrd,269,,0,1,1,1,2,1,0,9,./data/chords/107_salami_chords.txt
135,803,True Colors (1986),Cyndi Lauper,342,,1,2,1,1,1,3,1,15,./data/chords/803_salami_chords.txt
136,346,Living It Down (1976),Freddy Fender,199,,0,2,1,1,1,0,0,10,./data/chords/346_salami_chords.txt
137,71,Paradise By The Dashboard Light (1978),Meat Loaf,663,,1,2,1,1,2,2,2,18,./data/chords/71_salami_chords.txt
138,1239,Will You Love Me Tomorrow (1960),The Shirelles,191,,0,2,0,1,1,1,0,7,./data/chords/1239_salami_chords.txt
139,910,Time For Me To Fly (1978),REO Speedwagon,29,,0,1,1,1,1,1,1,10,./data/chords/910_salami_chords.txt
140,92,Shock The Monkey (1982),Peter Gabriel,258,,0,2,1,1,0,0,0,9,./data/chords/92_salami_chords.txt
141,1282,Crackerbox Palace (1977),George Harrison,436,,2,2,2,1,3,2,1,23,./data/chords/1282_salami_chords.txt
142,382,Where The Streets Have No Name (1991),Pet Shop Boys,538,,2,2,2,1,1,0,1,21,./data/chords/382_salami_chords.txt
143,636,After The Lovin' (1976),Engelbert Humperdinck,568,,2,2,2,2,1,0,2,25,./data/chords/636_salami_chords.txt
144,987,Baby I'm Burnin' (1978),Dolly Parton,323,,0,2,1,1,2,3,1,13,./data/chords/987_salami_chords.txt
145,99,A Trick Of The Night (1986),Bananarama,293,,1,2,2,1,1,0,1,18,./data/chords/99_salami_chords.txt
146,627,Nick Of Time (1990),Bonnie Raitt,458,,1,2,2,1,1,1,1,18,./data/chords/627_salami_chords.txt
147,1110,Reelin' & Rockin' (1972),Chuck Berry,337,,0,2,0,1,1,0,0,7,./data/chords/1110_salami_chords.txt
148,788,Last Date (1960),Floyd Cramer,236,,0,2,0,1,1,0,1,9,./data/chords/788_salami_chords.txt
149,517,All Those Years Ago (1981),George Harrison,329,,1,2,1,1,2,0,1,16,./data/chords/517_salami_chords.txt
150,147,Wheels (1961),The String-A-Longs,141,,0,2,0,1,1,0,0,7,./data/chords/147_salami_chords.txt
151,886,Dance Hall Days (1984),Wang Chung,234,,0,2,1,1,1,0,1,12,./data/chords/886_salami_chords.txt
152,500,The Battle Of New Orleans (1959),Johnny Horton,182,,0,0,0,1,1,0,0,3,./data/chords/500_salami_chords.txt
153,599,Hey Stoopid (1991),Alice Cooper,238,,0,2,0,1,1,0,1,9,./data/chords/599_salami_chords.txt
154,251,Theme From Electric Surfboard (1969),Brother Jack McDuff,193,,2,3,2,1,2,0,1,24,./data/chords/251_salami_chords.txt
155,589,Southern Cross (1982),"Crosby, Stills & Nash",387,,0,1,1,1,1,0,0,8,./data/chords/589_salami_chords.txt
156,1234,Amanda (1986),Boston,317,,1,2,1,1,1,0,1,15,./data/chords/1234_salami_chords.txt
157,861,You've Got Another Thing Comin' (1982),Judas Priest,488,,0,2,1,1,1,0,1,12,./data/chords/861_salami_chords.txt
158,157,Sleep Walk (1959),Santo & Johnny,235,,1,2,2,1,1,0,0,16,./data/chords/157_salami_chords.txt
159,206,Maybe I'm Amazed (1977),Paul McCartney,287,,1,2,2,1,2,0,1,19,./data/chords/206_salami_chords.txt
160,1212,Baby Don't Go (1965),Sonny & Cher,292,,0,2,1,1,1,0,0,10,./data/chords/1212_salami_chords.txt
161,870,And She Was (1985),Talking Heads,221,,0,2,0,1,2,0,1,10,./data/chords/870_salami_chords.txt
162,148,Spirits In The Material World (1982),The Police,686,,3,2,1,1,2,3,0,20,./data/chords/148_salami_chords.txt
163,752,Levon (1971),Elton John,322,,1,1,1,1,1,0,1,13,./data/chords/752_salami_chords.txt
164,769,All Through The Night (1984),Cyndi Lauper,254,,0,1,1,1,1,0,1,10,./data/chords/769_salami_chords.txt
165,668,Big Yellow Taxi (1970),Joni Mitchell,397,,1,2,1,1,1,0,0,13,./data/chords/668_salami_chords.txt
166,478,One Last Kiss (1978),The J. Geils Band,240,,0,2,1,1,1,0,1,12,./data/chords/478_salami_chords.txt
167,1253,All Alone Am I (1962),Brenda Lee,275,,1,2,1,1,1,0,1,15,./data/chords/1253_salami_chords.txt
168,619,If I Could Build My Whole World Around You (1967),"Marvin Gaye,Tammi Terrell",190,,1,2,1,1,2,0,0,14,./data/chords/619_salami_chords.txt
169,414,Someone (1991),The Rembrandts,514,,1,2,1,1,1,0,1,15,./data/chords/414_salami_chords.txt
170,176,25 Or 6 To 4 (1970),Chicago,225,,0,2,1,1,1,0,0,10,./data/chords/176_salami_chords.txt
171,140,La Grange (1974),ZZ Top,155,,0,2,0,1,0,0,0,6,./data/chords/140_salami_chords.txt
172,167,No Charge (1974),Melba Montgomery,207,,0,0,0,1,0,0,0,2,./data/chords/167_salami_chords.txt
173,159,Little Sister (1961),Elvis Presley,157,,0,2,0,1,1,0,0,7,./data/chords/159_salami_chords.txt
174,111,Eight Miles High (1966),The Byrds,2246,,0,2,0,1,1,0,0,7,./data/chords/111_salami_chords.txt
175,126,Blue Eyes Crying In The Rain (1975),Willie Nelson,273,,0,2,1,1,0,0,0,9,./data/chords/126_salami_chords.txt
176,331,Jungle Boogie (1973),Kool & The Gang,195,,0,1,0,0,0,0,0,2,./data/chords/331_salami_chords.txt
177,1037,Town Without Pity (1961),Gene Pitney,595,,2,3,2,1,1,0,2,25,./data/chords/1037_salami_chords.txt
178,723,Maybe Tomorrow (1969),Badfinger,205,,0,2,1,1,1,0,0,10,./data/chords/723_salami_chords.txt
179,706,Living In The Past (1972),Jethro Tull,229,,2,2,2,1,2,0,1,22,./data/chords/706_salami_chords.txt
180,522,Young Hearts Run Free (1976),Candi Staton,374,,2,2,2,1,2,0,1,22,./data/chords/522_salami_chords.txt
181,1188,Man In The Mirror (1988),Michael Jackson,549,,2,3,2,2,2,0,2,28,./data/chords/1188_salami_chords.txt
182,214,(Night Time Is) The Right Time (1959),Ray Charles,251,,0,2,1,1,0,0,0,9,./data/chords/214_salami_chords.txt
183,86,Space Oddity (1973),David Bowie,324,,0,2,1,1,1,0,1,12,./data/chords/86_salami_chords.txt
184,234,Life Is A Carnival (1971),The Band,616,,0,2,1,1,1,0,1,12,./data/chords/234_salami_chords.txt
185,25,Chicago (1971),Graham Nash,283,,0,2,1,1,2,0,1,13,./data/chords/25_salami_chords.txt
186,444,I Really Don't Want To Know (1970),Elvis Presley,794,,0,2,1,1,1,0,1,12,./data/chords/444_salami_chords.txt
187,902,"Honey, Honey (1974)",Abba,206,,1,2,1,1,1,0,1,15,./data/chords/902_salami_chords.txt
188,1022,Surrender (1978),Cheap Trick,260,,1,2,1,1,1,0,1,15,./data/chords/1022_salami_chords.txt
189,1003,Baby Come Back (1977),Player,944,,2,2,2,1,1,0,1,21,./data/chords/1003_salami_chords.txt
190,37,Foggy Mountain Breakdown (1968),Flatt & Scruggs,209,,1,1,0,1,2,0,0,9,./data/chords/37_salami_chords.txt
191,227,Promises In The Dark (1981),Pat Benatar,367,,1,2,1,1,2,0,1,16,./data/chords/227_salami_chords.txt
192,787,The Ways Of A Woman In Love (1958),Johnny Cash,336,,1,1,0,1,1,0,1,10,./data/chords/787_salami_chords.txt
193,1086,Don't Leave Me This Way (1976),Thelma Houston,619,,1,2,1,1,2,0,1,16,./data/chords/1086_salami_chords.txt
194,322,Bird Dog (1958),The Everly Brothers,216,,1,2,0,1,2,0,1,13,./data/chords/322_salami_chords.txt
195,740,Living Doll (1959),Cliff Richard,227,,1,2,1,1,1,0,1,15,./data/chords/740_salami_chords.txt
196,783,Hot Child In The City (1978),Nick Gilder,264,,0,1,1,1,1,0,0,8,./data/chords/783_salami_chords.txt
197,114,Sunshine Of Your Love (1968),Cream,332,,0,0,0,1,0,0,0,2,./data/chords/114_salami_chords.txt
198,711,Some Days Are Diamonds (Some Days Are Stone) (1981),John Denver,375,,0,1,1,1,1,0,1,10,./data/chords/711_salami_chords.txt
199,479,Wendy (1964),The Beach Boys,1061,,1,1,0,0,1,1,1,8,./data/chords/479_salami_chords.txt
